size,nodes,edges,list_load_time_s,list_memory_mb,list_edge_qps,list_neighbor_time_s,list_dijkstra_s,list_astar_s,matrix_load_time_s,matrix_memory_mb,matrix_edge_qps,matrix_neighbor_time_s,matrix_dijkstra_s,matrix_astar_s,matrix_skipped,matrix_reason
tiny,100,200,0.04849100112915039,0.0973501205444336,0,0.001010894775390625,0.0,0.0,0.00808405876159668,0.13459205627441406,0,0.04059910774230957,0.0,0.0,False,
small,961,2402,0.08507943153381348,0.6525726318359375,0,0.0,0.0,0.001229238510131836,0.059175729751586914,7.373946189880371,0,0.37221550941467285,0.014491701126098632,0.0016893386840820313,False,
medium,10000,30000,0.6060879230499268,8.71909236907959,1506195.9995690738,0.005326032638549805,0.011918926239013672,0.002240753173828125,1.2238070964813232,766.1877994537354,1943697.1129338709,3.6870639324188232,1.0428433418273926,0.19212732315063477,False,
large,49729,149187,2.547199010848999,46.114834785461426,778582.911028197,0.0015416145324707031,0.08892016410827637,0.0249969482421875,50.58227181434631,18884.474224090576,1329878.5630489236,39.76184368133545,97.16363406181335,7.88446159362793,False,
huge,99856,299568,4.792263746261597,92.55922412872314,1377892.247043364,0.0,0.2233649253845215,0.043003082275390625,,,,,,,True,Would require 74.3 GB RAM
